# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
QChristian,,Online forum for queer people of Christian faiths.,"LGBTQ, religion",,thriv.life/Qchristian,https://community.qchristian.org
Qmunity,,"An organization based in Vancouver, Canada that has information, referrals, and both in-person and online peer support groups.","LGBTQ, gender identity, support, parent",Canada,thriv.life/Qmunity,https://www.instagram.com/qmunity/?hl=en
QTBIPOC Eating Disorder Facebook Support Group,,"A supportive space for queer and trans Black, Indigenous, and people of color (QTBIPOC) who struggle with eating disorders (EDs).","Black, Indigenous, LGBTQ, mental health, PoC, disordered eating",,thriv.life/QTBIPOC-ED-FB,https://www.facebook.com/groups/qtbipoc.ed.support
Queer ASL,,Queer ASL focuses on introducing American Sign Language and Deaf culture to 2SLGBTQQIA+ learners and their allies. Courses are donation-only.,"LGBTQ, disability",,thriv.life/QASL,https://www.queerasl.com/
Queer Doc,,"Online, sliding scale access to HRT, gender-marker changes, PrEP, birth control, STI/STD testing, surgery, and mental health for trans individuals.","LGBTQ, mental health, health",,thriv.life/QueerDoc,https://queerdoc.com/
Queer Majority,,"An organization that produces content aimed to break down divisions, find common grounds, and bring people together to create a collaborative space where people of all backgrounds can have productive conversations. Has essays, cartoons, and poetry.","LGBTQ, coping",,thriv.life/QueerMaj,https://www.queermajority.com/
Queer Theology,,"Resources, courses, and a podcast on joining queerness and Christianity.","LGBTQ, religion",,thriv.life/QueerTheo,https://www.queertheology.com/
Queer Trans Project,,"An organization with several sub-programs: (1) “Build-a-queer kit” which are free, customized kits they arrange a few times a year (email list for restocks) for trans/gender non conforming individuals to pick out and receive gender affirming and supportive products (things like binders, trans tape, makeup, packers, nail supplies, plushies, etc) for no cost, including free shipping, (2) Free flights for transgender individuals traveling to receive gender affirming care, and (3) The QTP Loveline which is a phone number that plays pre-recorded messages of affirmations and support.","LGBTQ, gender identity, aid",,,https://queertransproject.org/
"Question, Persuade, Refer (QPR)",,Suicide prevention training for individuals and organizations.,"mental health, education",,thriv.life/QPR,https://qprinstitute.com/
## ATTN: Site having Issues RAD Remedy,,"Connect trans, gender non-conforming, intersex, and queer individuals to comprehensive care in order to improve individual and community health.","LGBTQ, gender identity",,thriv.life/RAD-Remedy,https://www.radremedy.org/
r/OCD Discord,,discord based community for those wanting community or support living with OCD,"mental health, support",,,https://discord.com/invite/qFfXeaSu23
R Voice,,"A Facebook community for academics to connect, share, support and grow.","STEMM, support",,thriv.life/Rvoice,https://www.facebook.com/groups/researchervoice/
Racial Equity Support Line,"<a href=""tel:+1503.575.3764"">1.503.575.3764</a>","A hotline that is led and staffed by people with lived experience of racism. The line is available weekdays from 10am-7pm PT (1pm-10pm ET). This is a warmline, and they will appropriately redirect people in acute crises.","hotline, Black, Indigenous, Latinx, support",,thriv.life/RESL,https://www.linesforlife.org/get-help-now/services-and-crisis-lines/racial-equity-support-line/
Racial Trauma Support Group,,"A weekly virtual support group for Black folks, that welcomes people of all identities and sizes.","Black, LGBTQ, mental health, support",,thriv.life/RacTGrp,https://www.melittlemefoundation.org/services
RAD Remedy,,"Connect trans, gender non-conforming, intersex, and queer individuals to comprehensive care in order to improve individual and community health.","LGBTQ, gender identity",,thriv.life/RadFB,https://www.facebook.com/radremedy/
Rainbow Alliance of the Deaf,,"A non-profit organization to establish and maintain a society of Def GLBT to encourange and promote their educational, economical, and social welfare.",LGBTQ,,thriv.life/DeafRAD,https://www.deafrad.org/
Rainbow Bridge,,An online support community for those grieving a pet loss. The community observes a weekly candle lighting ceremony and offers space for a virtual pet memorial.,"mental health, coping, grief, pet",,thriv.life/RainBridge,https://www.rainbowsbridge.com/hello.htm
Rainbow Railroad,,An  organization that helps LGBTQI+ people escape state-sponsored violence.,"LGBTQ, legal",international,thriv.life/RainRail,https://www.rainbowrailroad.org/
Random Acts of Kindness,,An initiative for spreading kindness with calendars of ideas and lesson plans.,general,,thriv.life/RAK,https://www.randomactsofkindness.org/
Ready for Wildfire,,"Information on preparing for a wildfire and evacuations, including how to build a ""go bag"" and make a household action plan.","general, disaster",,thriv.life/R4W,https://www.readyforwildfire.org/prepare-for-wildfire/
Recovery Dharma,,"A global nonprofit using Buddhist Practices and Principles to Recover from Addiction. Their site maintains a list of meetings, and has other resources listed.","mental health, substance use, support",,thriv.life/RecovD,https://recoverydharma.org/
Recovery Outreach Community Center,,"A trauma-informed community that offers free virtual support groups on topics including DID, eating disorders, trauma recovery, extreme states/visions, and more.","mental health, support, disordered eating",,thriv.life/ROCC,http://www.roccsalem.org/online-groups-2
Recovery Record,,"Evidenced based treatment app (Android and iOS) for eating disorders that is free for personal use. It is designed to be used as a log (feelings, thoughts, etc.) at mealtime that can be shared with a clinician via their HIPAA-compliant platform, but also includes many coping strategies for use as an individual treatment tool. Coping strategies are built on cognitive behavioral therapy techniques.","app, coping, mental health, disordered eating",,thriv.life/RecovRecApp,https://www.recoveryrecord.com/
Reflective Workbook,,Workbook for partners of trans folx.,"LGBTQ, gender identity",,thriv.life/ReflectiveWB,https://www.goodreads.com/book/show/43610689-the-reflective-workbook-for-partners-of-transgender-people
Repro Legal Helpline,"<a href=""tel:+1844.868.2812"">844.868.2812</a>","A free legal service to provide information around accessing abortion in states where it is not legal. They have a helpline and a secure online forum. They respond to all questions within 2 business days. If you are contacting them about a legal emergency (including being arrested / questioned by the police), they will contact you within 24 hours.","health, hotline, legal",,thriv.life/ReproLegal,https://www.reprolegalhelpline.org/sma-contact-the-helpline/
Research Experiences in Solid Earth Science for Students (RESESS),,"RESESS supports interns in summer research experiences at UNAVCO in Boulder, CO, as well as provides professional development opportunities and graduate school application support.","STEMM, education",,thriv.life/RESESS,https://resess.unavco.org/
Resources for POCs in STEAM,,A Google Doc with different fellowship and mentorship opportunities for people of color in STEAM fields.,"Black, Indigenous, Latinx, funding, education",,thriv.life/POC-STEAM,https://docs.google.com/spreadsheets/d/1V_pvhqWliwqLhAVcXikxAEuJPD4mwwgl9LEgOnzN-zM/edit#gid=1417047090
Riot Medicine,,"Riot Medicine includes a textbook and several quick guides about first aid and the role of a medic at protests. It is provided as information only, and reading it does not give anyone clearance to legally practice street medicine. Do not use this guide to replace contacting emergency services.","general, health, protest",,thriv.life/Rmed,https://riotmedicine.net/
Rocking Recovery Support Groups,,"Free, virtual support groups for people in recovery. Groups include a late night peer support group and a group focused on alternatives to suicide.","mental health, coping, self-harm",,thriv.life/RockRecov,http://rockingrecovery.org/zoom-meetings/
Safe Havens Mapping Project,,A searchable directory for pets of those experiencing domestic violence.,"abuse, housing, pet",,thriv.life/SafeHavens,https://safehavensforpets.org/
Safety During Protests (Amnesty USA),,An infographic about safely planning for and participating in protests.,general,,thriv.life/ProtestSafety,https://www.amnestyusa.org/pdfs/SafeyDuringProtest_F.pdf
Safer Movements Collective,,"Safer Movements Collective is a healing justice organization working to support organizers and people invested in liberation, through peer mental health support, relational skill building, and political education.","education, general, mental health",,,https://www.safermovementscollective.org/
Safety Plan Workbook-Zine,,A PDF workbook-zine for creating a safety plan and crisis toolkit.,"mental health, support",,thriv.life/SP-zine,https://drive.google.com/file/d/1DMtWcNTv0WyDl4BX5yVB1BvOp1OZQQS9/view
SAGE,"<a href=""tel:+1877.360.5428"">877.360.LGBT (5428)</a>","SAGE is the country's largest and oldest organization dedicated to improving the lives of LGBT older people. Offers a 24/7 elder hotline in English and Spanish, with translation in 180 languages.","LGBTQ, hotline",Español,thriv.life/SAGE,https://www.sageusa.org/what-we-do/sage-national-lgbt-elder-hotline/
Samaritans,"<a href=""tel:+44116-123"">44.116.123</a>","A 24/7 UK-based suicide hotline that provides services to the UK, Ireland, Scotland, and Wales.",hotline,UK,thriv.life/Samaritans,https://www.samaritans.org/
Sane in the Membrane - Palestinian Mental Health Fund (PMHF),,"PMHF offers 4-12 fully funded 1on1 therapy sessions to Palestinians in need of support. They also provide  4-6 week processing groups to grassroots organizations.  The group meets once a week for 60-90 minutes, both in person and virtual are an option.","mental health, aid",,thriv.life/PMHF,https://saneinthemembrane.com/palestinian-mh-fund
